#Id,ActionsId,TimingId,Weight
AP_BASIC_PACKAGE,ACT_MONEY,*asap,10
AP_BASIC_PACKAGE,ACT_VOICE,*asap,10
AP_BASIC_PACKAGE,ACT_VOICE_EXTERNAL,*asap,10

AP_GOI_1,ACT_MONEY_GOI_1,*asap,10
AP_GOI_1,ACT_VOICE_NOI_MANG_GOI_1,*asap,10

AP_GOI_2,ACT_MONEY_GOI_2,*asap,10
AP_GOI_2,ACT_VOICE_NOI_MANG_GOI_2,*asap,10

AP_GOI_3,ACT_MONEY_GOI_3,*asap,10
AP_GOI_3,ACT_VOICE_NOI_MANG_GOI_3,*asap,10

AP_GOI_4,ACT_MONEY_GOI_4,*asap,10
AP_GOI_4,ACT_VOICE_NOI_MANG_GOI_4,*asap,10

AP_GOI_5,ACT_MONEY_GOI_5,*asap,10
AP_GOI_5,ACT_VOICE_NOI_MANG_GOI_5,*asap,10

AP_GOI_6,ACT_MONEY_GOI_6,*asap,10
AP_GOI_6,ACT_VOICE_NOI_MANG_GOI_6,*asap,10

AP_GOI_7,ACT_MONEY_GOI_7,*asap,10
AP_GOI_7,ACT_VOICE_NOI_MANG_GOI_7,*asap,10

AP_GOI_8,ACT_MONEY_GOI_8,*asap,10
AP_GOI_8,ACT_VOICE_NGOAI_MANG_GOI_8,*asap,10

AP_GOI_9,ACT_MONEY_GOI_9,*asap,10
AP_GOI_9,ACT_VOICE_NGOAI_MANG_GOI_9,*asap,10

AP_GOI_10,ACT_MONEY_GOI_10,*asap,10
AP_GOI_10,ACT_VOICE_NGOAI_MANG_GOI_10,*asap,10

AP_GOI_11,ACT_MONEY_GOI_11,*asap,10
AP_GOI_11,ACT_VOICE_NGOAI_MANG_GOI_11,*asap,10

AP_GOI_12,ACT_MONEY_GOI_12,*asap,10
AP_GOI_12,ACT_VOICE_NGOAI_MANG_GOI_12,*asap,10

AP_GOI_13,ACT_MONEY_GOI_13,*asap,10
AP_GOI_13,ACT_VOICE_NGOAI_MANG_GOI_13,*asap,10

AP_GOI_14,ACT_MONEY_GOI_14,*asap,10
AP_GOI_14,ACT_VOICE_NGOAI_MANG_GOI_14,*asap,10
